condition,seed,year,is_state,raid_enabled,mean_coop,between_sel,demographic_sel,raid_sel,fst_prosocial,violence_rate,total_pop,n_bands
A_Free_Raid,42,100,False,True,0.4995273357795652,-0.1807103243218107,-0.2566881148552172,-0.1047325337884042,0.128562,0.04054054054054054,228,4
A_Free_Raid,42,150,False,True,0.499125097937016,0.28046901109969924,0.35612284018688906,0.20481518201250942,0.230646,0.04807692307692308,203,4
A_Free_Raid,42,200,False,True,0.496762137519325,-0.05569839819007615,-0.03794135924158046,-0.07345543713857185,0.254849,0.050724637681159424,253,5
A_Free_Raid,137,100,False,True,0.49410302396692907,0.048311650695381514,0.09662330139076303,0.0,0.243739,0.0,258,4
A_Free_Raid,137,150,False,True,0.4905456670803321,0.06696624801196258,0.13393249602392515,0.0,0.264511,0.0,307,4
A_Free_Raid,137,200,False,True,0.5134875845737855,-0.05466897310194548,-0.054672021005688895,-0.05466592519820207,0.228655,0.00823045267489712,328,5
A_Free_Raid,271,100,False,True,0.47669512085475774,0.3319120457427915,0.5107938013543658,0.1530302901312172,0.068272,0.034482758620689655,174,4
A_Free_Raid,271,150,False,True,0.468209817711518,-0.3352875974889309,-0.6705751949778618,0.0,0.159398,0.024193548387096774,138,4
A_Free_Raid,271,200,False,True,0.4687822208840334,-0.09964502784464117,-0.19929005568928235,0.0,0.234743,0.017857142857142856,161,4
A_Free_Raid,512,100,False,True,0.49828064173978504,-0.0730803138401598,-0.1461606276803196,0.0,0.235292,0.02564102564102564,243,4
A_Free_Raid,512,150,False,True,0.5175035800724597,0.1656384432687133,0.3312768865374266,0.0,0.228085,0.02631578947368421,203,4
A_Free_Raid,512,200,False,True,0.5193998072875106,-0.12392240143241898,-0.24784480286483795,0.0,0.326216,0.020134228187919462,211,4
A_Free_Raid,999,100,False,True,0.5044962686654475,-0.0592673002310693,-0.1185346004621386,0.0,0.156016,0.0,247,4
A_Free_Raid,999,150,False,True,0.49785872725625424,-0.15689974576589227,-0.31379949153178455,0.0,0.256626,0.0,383,5
A_Free_Raid,999,200,False,True,0.5004292752365361,0.030458958798024696,0.06091791759604939,0.0,0.24879,0.004201680672268907,445,6
A_Free_Raid,1337,100,False,True,0.5500774635325884,0.23000849871187784,0.4600169974237557,0.0,0.302149,0.011235955056179775,195,4
A_Free_Raid,1337,150,False,True,0.5633562442614584,-0.005722996722123725,-0.01144599344424745,0.0,0.389073,0.0072992700729927005,239,4
A_Free_Raid,1337,200,False,True,0.5660341824874646,0.3539573485128953,0.7079146970257906,0.0,0.39795,0.005405405405405406,261,5
A_Free_Raid,2048,100,False,True,0.547931428325982,-0.057867600893020094,-0.11573520178604019,0.0,0.205774,0.009900990099009901,239,4
A_Free_Raid,2048,150,False,True,0.5665396682809709,-0.00892390252802322,-0.37120617440602566,0.3533583693499792,0.223252,0.01910828025477707,263,4
A_Free_Raid,2048,200,False,True,0.5800146969762561,-0.03428590604719464,-0.19579720053433908,0.1272253884399498,0.317423,0.022321428571428572,305,4
A_Free_Raid,3141,100,False,True,0.48761431110955905,-0.0030941346550666868,-0.0061882693101333736,0.0,0.268168,0.0136986301369863,251,4
A_Free_Raid,3141,150,False,True,0.47348488138691247,-0.21211026743052686,-0.4242205348610537,0.0,0.310305,0.008771929824561403,271,4
A_Free_Raid,3141,200,False,True,0.4733993997634385,-0.33318352827156617,-0.6663670565431323,0.0,0.233975,0.013605442176870748,359,4
A_Free_Raid,4096,100,False,True,0.5115995882554297,-0.029607886077075457,-0.059215772154150914,0.0,0.159678,0.012345679012345678,279,4
A_Free_Raid,4096,150,False,True,0.5073938479065114,0.044306789152945836,0.015664381099904756,0.07294919720598692,0.267912,0.03333333333333333,261,4
A_Free_Raid,4096,200,False,True,0.4964725826410105,-0.032374498645249494,0.06244213589469715,-0.12719113318519615,0.26858,0.0379746835443038,219,4
A_Free_Raid,7777,100,False,True,0.4498746616828159,0.20400711951501294,0.40801423903002587,0.0,0.432793,0.0,124,4
A_Free_Raid,7777,150,False,True,0.46019607447953703,0.2762295067983644,0.5354491516497385,0.017009861946990265,0.508955,0.008695652173913044,146,4
A_Free_Raid,7777,200,False,True,0.436863523433783,0.4555893853039794,0.9111787706079588,0.0,0.460251,0.006756756756756757,188,4
B_State_Raid,42,100,True,True,0.4990958528889823,0.10527161415203017,0.10904049991725212,0.10150272838680821,0.35605,0.0547945205479452,156,4
B_State_Raid,42,150,True,True,0.48522381021895006,0.14822127499404478,0.1160669428388728,0.18037560714921674,0.347324,0.058823529411764705,248,4
B_State_Raid,42,200,True,True,0.501534927845263,0.05429317247288111,-0.23036579486934725,0.33895213981510947,0.424973,0.04938271604938271,242,5
B_State_Raid,137,100,True,True,0.5083296561319619,-0.09734503128922525,-0.1946900625784505,0.0,0.223024,0.0125,150,4
B_State_Raid,137,150,True,True,0.5150126027191227,0.3293724884634569,0.24405414727182828,0.4146908296550855,0.258923,0.026785714285714284,182,4
B_State_Raid,137,200,True,True,0.527978947741175,0.13080319654479036,0.14841353967025148,0.11319285341932926,0.27756,0.025974025974025976,199,4
B_State_Raid,271,100,True,True,0.48108336693547465,0.07575408928057495,-0.16022116095063338,0.3117293395117833,0.12897,0.013333333333333334,201,4
B_State_Raid,271,150,True,True,0.4803130110660031,0.04508356631076396,0.09016713262152792,0.0,0.153393,0.008928571428571428,237,4
B_State_Raid,271,200,True,True,0.47470806810853317,0.12289819684178989,0.24579639368357978,0.0,0.206485,0.005681818181818182,352,5
B_State_Raid,512,100,True,True,0.48375502595961434,0.14767586881012018,0.7347579944021103,-0.43940625678186995,0.135728,0.02631578947368421,231,4
B_State_Raid,512,150,True,True,0.483177665327406,0.25256850194164127,0.17256734284136918,0.3325696610419133,0.186272,0.049019607843137254,197,4
B_State_Raid,512,200,True,True,0.473478487935022,0.13473088002413336,-0.05266758821891747,0.3221293482671842,0.222961,0.045112781954887216,152,4
B_State_Raid,999,100,True,True,0.5204252534027328,0.27338458273125077,0.22005736154518546,0.326711803917316,0.257581,0.011235955056179775,204,4
B_State_Raid,999,150,True,True,0.5138654661503801,-0.03408915503086167,-0.23783584872919938,0.16965753866747604,0.269882,0.024390243902439025,294,4
B_State_Raid,999,200,True,True,0.5130540248953848,0.4176070610474676,0.44772680692791333,0.38748731516702184,0.236889,0.027210884353741496,377,4
B_State_Raid,1337,100,True,True,0.515945319085076,0.04802657934437379,0.4007126861333688,-0.3046595274446212,0.270683,0.023529411764705882,180,4
B_State_Raid,1337,150,True,True,0.520340167889325,-0.08823371898353774,-0.14346495748281263,-0.033002480484262846,0.317001,0.030303030303030304,168,4
B_State_Raid,1337,200,True,True,0.5445389904346357,-0.0728511101249381,-0.1457022202498762,0.0,0.475751,0.023529411764705882,155,4
B_State_Raid,2048,100,True,True,0.5494595439083209,-0.06214631123426052,-0.33783860214687356,0.2135459796783525,0.227292,0.03225806451612903,295,4
B_State_Raid,2048,150,True,True,0.5439705307663714,0.05863339921975051,0.25992932147995357,-0.14266252304045254,0.212539,0.03007518796992481,346,5
B_State_Raid,2048,200,True,True,0.5387176658358771,0.04000211164192946,0.08000422328385892,0.0,0.266735,0.02304147465437788,386,6
B_State_Raid,3141,100,True,True,0.5017945386746008,0.0890704001226984,-0.28301945860954086,0.46116025885493767,0.095337,0.03296703296703297,230,4
B_State_Raid,3141,150,True,True,0.5038093882598426,-0.013319086956403534,-0.026638173912807067,0.0,0.136071,0.023809523809523808,413,4
B_State_Raid,3141,200,True,True,0.5153563838364695,-0.03663413196078564,-0.07326826392157128,0.0,0.168129,0.01809954751131222,568,7
B_State_Raid,4096,100,True,True,0.5372891028036244,0.21987933061889953,0.43975866123779905,0.0,0.126929,0.0,157,4
B_State_Raid,4096,150,True,True,0.5284099655823863,0.5533797319779403,0.6690300791480623,0.4377293848078182,0.155595,0.007936507936507936,312,4
B_State_Raid,4096,200,True,True,0.5294062054261961,0.14596420649623595,0.2919284129924719,0.0,0.169278,0.0055248618784530384,345,5
B_State_Raid,7777,100,True,True,0.4735576391216736,-0.014231160859772385,-0.506870142098447,0.4784078203789023,0.249019,0.038461538461538464,323,4
B_State_Raid,7777,150,True,True,0.49135626474543437,-0.10036511652044769,-0.3109792415392479,0.11024900849835251,0.27236,0.03571428571428571,376,4
B_State_Raid,7777,200,True,True,0.46294369077757463,-0.12452944520312896,-0.26145764599096283,0.012398755584704907,0.272878,0.03488372093023256,355,5
C_Free_NoRaid,42,100,False,False,0.5037368128511548,0.2254413290139587,0.4508826580279174,0.0,0.114476,0.0,231,4
C_Free_NoRaid,42,150,False,False,0.49750932582737567,0.13372716127618628,0.26745432255237256,0.0,0.148052,0.0,233,4
C_Free_NoRaid,42,200,False,False,0.49760357067482464,0.025942316866171072,0.051884633732342145,0.0,0.231919,0.0,247,4
C_Free_NoRaid,137,100,False,False,0.49410302396692907,0.048311650695381514,0.09662330139076303,0.0,0.243739,0.0,258,4
C_Free_NoRaid,137,150,False,False,0.4905456670803321,0.06696624801196258,0.13393249602392515,0.0,0.264511,0.0,307,4
C_Free_NoRaid,137,200,False,False,0.4834981647710592,0.007517237724891344,0.015034475449782689,0.0,0.376128,0.0,258,4
C_Free_NoRaid,271,100,False,False,0.4715769954838589,-0.09469089704409078,-0.18938179408818157,0.0,0.052043,0.0,197,4
C_Free_NoRaid,271,150,False,False,0.4957136908240919,-0.06004325736913728,-0.12008651473827456,0.0,0.13185,0.0,121,4
C_Free_NoRaid,271,200,False,False,0.5011178430172062,0.20150820484425236,0.4030164096885047,0.0,0.276416,0.0,164,4
C_Free_NoRaid,512,100,False,False,0.5150043766370819,-0.16778298122678142,-0.33556596245356285,0.0,0.315734,0.0,235,4
C_Free_NoRaid,512,150,False,False,0.5165258295955986,0.19139603134979022,0.38279206269958044,0.0,0.445032,0.0,275,4
C_Free_NoRaid,512,200,False,False,0.5048114034027986,0.1555557716024975,0.311111543204995,0.0,0.399878,0.0,377,5
C_Free_NoRaid,999,100,False,False,0.5044962686654475,-0.0592673002310693,-0.1185346004621386,0.0,0.156016,0.0,247,4
C_Free_NoRaid,999,150,False,False,0.49785872725625424,-0.15689974576589227,-0.31379949153178455,0.0,0.256626,0.0,383,5
C_Free_NoRaid,999,200,False,False,0.5022823228808317,0.17182431864163927,0.34364863728327855,0.0,0.226928,0.0,508,6
C_Free_NoRaid,1337,100,False,False,0.5473952777702704,-0.28860021705489425,-0.5772004341097885,0.0,0.290496,0.0,204,4
C_Free_NoRaid,1337,150,False,False,0.5436496755012763,-0.18000966386342984,-0.3600193277268597,0.0,0.293958,0.0,227,4
C_Free_NoRaid,1337,200,False,False,0.5579380532170181,0.32451537427623256,0.6490307485524651,0.0,0.379171,0.0,315,4
C_Free_NoRaid,2048,100,False,False,0.5633593736473509,-0.15469522252452103,-0.30939044504904206,0.0,0.208616,0.0,211,4
C_Free_NoRaid,2048,150,False,False,0.5529019843124771,-0.11159089035310472,-0.22318178070620945,0.0,0.217064,0.0,208,4
C_Free_NoRaid,2048,200,False,False,0.5575586403760274,-0.16930731149785785,-0.3386146229957157,0.0,0.275427,0.0,220,4
C_Free_NoRaid,3141,100,False,False,0.48533630441057113,0.2345176196776247,0.4690352393552494,0.0,0.267219,0.0,251,4
C_Free_NoRaid,3141,150,False,False,0.4834359971579245,0.3170150264513591,0.6340300529027182,0.0,0.30595,0.0,271,4
C_Free_NoRaid,3141,200,False,False,0.4773720391376549,-0.009266268588411918,-0.018532537176823835,0.0,0.314566,0.0,218,4
C_Free_NoRaid,4096,100,False,False,0.49887725667178945,-0.19349102486635084,-0.38698204973270167,0.0,0.138929,0.0,208,4
C_Free_NoRaid,4096,150,False,False,0.49133776607505286,-0.1326884316822377,-0.2653768633644754,0.0,0.154465,0.0,324,4
C_Free_NoRaid,4096,200,False,False,0.4978544093446921,-0.052276897191497515,-0.10455379438299503,0.0,0.170162,0.0,489,6
C_Free_NoRaid,7777,100,False,False,0.4498746616828159,0.20400711951501294,0.40801423903002587,0.0,0.432793,0.0,124,4
C_Free_NoRaid,7777,150,False,False,0.46059738700193,0.26621634602543964,0.5324326920508793,0.0,0.513785,0.0,143,4
C_Free_NoRaid,7777,200,False,False,0.45545692458168185,0.3786960958550885,0.757392191710177,0.0,0.582426,0.0,159,4
D_State_NoRaid,42,100,True,False,0.4876030890163605,0.021966464381523543,0.04393292876304709,0.0,0.342885,0.0,209,4
D_State_NoRaid,42,150,True,False,0.49158683043537965,0.016760511666583273,0.03352102333316655,0.0,0.328408,0.0,278,4
D_State_NoRaid,42,200,True,False,0.4781671408920777,-0.0978815221525724,-0.1957630443051448,0.0,0.30482,0.0,384,4
D_State_NoRaid,137,100,True,False,0.5054983334915564,0.20981499223265332,0.41962998446530664,0.0,0.161561,0.0,202,4
D_State_NoRaid,137,150,True,False,0.5024633520529013,-0.14071229509578367,-0.28142459019156735,0.0,0.239332,0.0,232,4
D_State_NoRaid,137,200,True,False,0.49268513476315334,0.2468032882577693,0.4936065765155386,0.0,0.247025,0.0,241,4
D_State_NoRaid,271,100,True,False,0.4724337047985825,-0.11017433164418552,-0.22034866328837105,0.0,0.143406,0.0,200,4
D_State_NoRaid,271,150,True,False,0.47955258612481777,-0.1867624476490063,-0.3735248952980126,0.0,0.160689,0.0,192,4
D_State_NoRaid,271,200,True,False,0.495291114904702,0.062230220796266646,0.12446044159253329,0.0,0.220429,0.0,294,5
D_State_NoRaid,512,100,True,False,0.4954023388129526,0.03597816374313206,0.07195632748626413,0.0,0.297167,0.0,215,4
D_State_NoRaid,512,150,True,False,0.5262779992077552,0.2767747703435568,0.5535495406871136,0.0,0.284976,0.0,374,4
D_State_NoRaid,512,200,True,False,0.5097138754066991,-0.1301656847006294,-0.2603313694012588,0.0,0.306474,0.0,430,6
D_State_NoRaid,999,100,True,False,0.5233150017750378,-0.19931325397043728,-0.39862650794087456,0.0,0.268207,0.0,208,4
D_State_NoRaid,999,150,True,False,0.5271690280760037,0.201658777082767,0.403317554165534,0.0,0.325645,0.0,290,4
D_State_NoRaid,999,200,True,False,0.5346889288931984,0.3514268795069196,0.7028537590138392,0.0,0.357351,0.0,285,4
D_State_NoRaid,1337,100,True,False,0.5108724994952231,-0.020361611441066088,-0.040723222882132176,0.0,0.142819,0.0,205,4
D_State_NoRaid,1337,150,True,False,0.5171572445814001,0.022419327955356214,0.04483865591071243,0.0,0.236171,0.0,254,4
D_State_NoRaid,1337,200,True,False,0.529103413398432,-0.05312535743605522,-0.10625071487211044,0.0,0.250428,0.0,342,4
D_State_NoRaid,2048,100,True,False,0.4995654037897007,0.0,0.0,0.0,0.467435,0.0,208,4
D_State_NoRaid,2048,150,True,False,0.4999798521145026,-0.20942779305367218,-0.41885558610734436,0.0,0.411425,0.0,244,4
D_State_NoRaid,2048,200,True,False,0.49761082461658057,-0.10061836169201344,-0.20123672338402687,0.0,0.507401,0.0,217,5
D_State_NoRaid,3141,100,True,False,0.5216575900420783,-0.10314172110017954,-0.20628344220035907,0.0,0.097675,0.0,244,4
D_State_NoRaid,3141,150,True,False,0.5161641328938751,-0.21867570795027988,-0.43735141590055976,0.0,0.09832,0.0,258,5
D_State_NoRaid,3141,200,True,False,0.5112793040085178,-0.08396671484992484,-0.16793342969984967,0.0,0.200794,0.0,320,5
D_State_NoRaid,4096,100,True,False,0.5372891028036244,0.21987933061889953,0.43975866123779905,0.0,0.126929,0.0,157,4
D_State_NoRaid,4096,150,True,False,0.5286396233412702,-0.310736030989063,-0.621472061978126,0.0,0.144213,0.0,215,4
D_State_NoRaid,4096,200,True,False,0.5281019021637512,-0.3716513036613256,-0.7433026073226512,0.0,0.180593,0.0,234,4
D_State_NoRaid,7777,100,True,False,0.4698440769304115,0.11223564453251422,0.22447128906502845,0.0,0.219966,0.0,311,4
D_State_NoRaid,7777,150,True,False,0.4846842773947612,0.07167735213213879,0.14335470426427757,0.0,0.254689,0.0,324,5
D_State_NoRaid,7777,200,True,False,0.4930203097310318,0.24004382108040967,0.48008764216081934,0.0,0.252387,0.0,369,5
