seed,scenario,final_pop,yr1_aggression_propensity,yr500_aggression_propensity,disp_aggression_propensity,yr1_cooperation_propensity,yr500_cooperation_propensity,disp_cooperation_propensity,yr1_attractiveness_base,yr500_attractiveness_base,disp_attractiveness_base,yr1_status_drive,yr500_status_drive,disp_status_drive,yr1_risk_tolerance,yr500_risk_tolerance,disp_risk_tolerance,yr1_jealousy_sensitivity,yr500_jealousy_sensitivity,disp_jealousy_sensitivity,yr1_fertility_base,yr500_fertility_base,disp_fertility_base,yr1_intelligence_proxy,yr500_intelligence_proxy,disp_intelligence_proxy,yr1_longevity_genes,yr500_longevity_genes,disp_longevity_genes,yr1_disease_resistance,yr500_disease_resistance,disp_disease_resistance,yr1_physical_robustness,yr500_physical_robustness,disp_physical_robustness,yr1_pain_tolerance,yr500_pain_tolerance,disp_pain_tolerance,yr1_mental_health_baseline,yr500_mental_health_baseline,disp_mental_health_baseline,yr1_emotional_intelligence,yr500_emotional_intelligence,disp_emotional_intelligence,yr1_impulse_control,yr500_impulse_control,disp_impulse_control,yr1_novelty_seeking,yr500_novelty_seeking,disp_novelty_seeking,yr1_empathy_capacity,yr500_empathy_capacity,disp_empathy_capacity,yr1_conformity_bias,yr500_conformity_bias,disp_conformity_bias,yr1_dominance_drive,yr500_dominance_drive,disp_dominance_drive,yr1_maternal_investment,yr500_maternal_investment,disp_maternal_investment,yr1_sexual_maturation_rate,yr500_sexual_maturation_rate,disp_sexual_maturation_rate,yr1_cardiovascular_risk,yr500_cardiovascular_risk,disp_cardiovascular_risk,yr1_mental_illness_risk,yr500_mental_illness_risk,disp_mental_illness_risk,yr1_autoimmune_risk,yr500_autoimmune_risk,disp_autoimmune_risk,yr1_metabolic_risk,yr500_metabolic_risk,disp_metabolic_risk,yr1_degenerative_risk,yr500_degenerative_risk,disp_degenerative_risk,yr1_physical_strength,yr500_physical_strength,disp_physical_strength,yr1_endurance,yr500_endurance,disp_endurance,yr1_group_loyalty,yr500_group_loyalty,disp_group_loyalty,yr1_outgroup_tolerance,yr500_outgroup_tolerance,disp_outgroup_tolerance,yr1_future_orientation,yr500_future_orientation,disp_future_orientation,yr1_conscientiousness,yr500_conscientiousness,disp_conscientiousness,yr1_psychopathy_tendency,yr500_psychopathy_tendency,disp_psychopathy_tendency,yr1_anxiety_baseline,yr500_anxiety_baseline,disp_anxiety_baseline,yr1_paternal_investment_preference,yr500_paternal_investment_preference,disp_paternal_investment_preference
101,NO_INSTITUTIONS,270,0.5074120081513671,0.49796575446655633,-0.00944625368481078,0.4948491755448971,0.515724667314053,0.020875491769155874,0.498588867618573,0.5039487960611717,0.005359928442598694,0.5004257087628703,0.5228598635385983,0.022434154775727966,0.49989395426485,0.48566932705838156,-0.014224627206468443,0.5019860175418737,0.5068720633288593,0.004886045786985593,0.501931292951858,0.5316153661283296,0.029684073176471593,0.4991659853854378,0.6158675612256574,0.11670157584021962,0.49083490017436293,0.492898929313844,0.0020640291394810606,0.5055230329241142,0.5026306939063688,-0.0028923390177453268,0.49039785460942026,0.468693282344225,-0.021704572265195232,0.5015414310116041,0.46986409233725834,-0.031677338674345745,0.5033978748545433,0.5578280484630801,0.05443017360853675,0.49748087500084365,0.4878558065101433,-0.009625068490700328,0.5105097749810762,0.618987927111132,0.10847815213005585,0.5091727914526953,0.5297767006361065,0.02060390918341115,0.48959308580608646,0.4993368470632055,0.009743761257119066,0.49179173513391156,0.5266036371270767,0.03481190199316514,0.496431958702578,0.5003771915074554,0.003945232804877408,0.49904955201064216,0.473245412074641,-0.02580413993600117,0.5076270964206953,0.49376861330101746,-0.0138584831196778,0.20923124256508863,0.18374656099068606,-0.025484681574402562,0.2017509232413687,0.2423090827390881,0.040558159497719404,0.212081069722835,0.22703118878049985,0.014950119057664857,0.19644045212483313,0.2541318199843513,0.05769136785951817,0.21788192803204795,0.24524262514812825,0.0273606971160803,0.49161956939825513,0.4543030976520275,-0.03731647174622765,0.502439280289122,0.5486118792246732,0.04617259893555126,0.5006987672272007,0.53636326273247,0.03566449550526929,0.5005526943457824,0.46515901188041775,-0.03539368246536467,0.5157868832881809,0.5430486041341186,0.027261720845937698,0.510774930771545,0.5890073605282237,0.07823242975667866,0.20527648644716795,0.19995085380289834,-0.005325632644269607,0.4998295137498407,0.5284673688872826,0.028637855137441937,0.5127829385862102,0.524549176882578,0.011766238296367804
101,STRONG_STATE,874,0.5046879210792735,0.504372156583769,-0.00031576449550452246,0.4994373425353175,0.5419294378650049,0.042492095329687396,0.49707685469080737,0.48108152647812125,-0.015995328212686122,0.5011177595323761,0.50580823985886,0.004690480326483892,0.501371169184319,0.4397730991647017,-0.06159807001961731,0.505773543569429,0.5420427126007168,0.03626916903128774,0.5016378947340172,0.5293990979429208,0.02776120320890363,0.49936770235709615,0.629817813414911,0.1304501110578149,0.4942718604210413,0.5042487825819075,0.009976922160866208,0.5039545908274029,0.5338596305132496,0.02990503968584668,0.4883743897133675,0.4903455125580701,0.0019711228447025775,0.5012686086762245,0.5260366146556731,0.024768005979448615,0.5050496824206113,0.5634125255915856,0.05836284317097429,0.4988835205841582,0.5020246200152222,0.0031410994310639984,0.5090538443386414,0.6507540414747769,0.14170019713613546,0.5086962958219462,0.5600476358949911,0.05135134007304487,0.4907863927547343,0.5112831091466138,0.0204967163918795,0.49227258953309744,0.49426657154641274,0.0019939820133152986,0.49749843388904785,0.5164315792248599,0.018933145335812085,0.4996548748452011,0.5115662944978914,0.01191141965269027,0.5059037096162542,0.5151105467903976,0.00920683717414339,0.20767715640575946,0.21707528949012625,0.009398133084366794,0.20504298377785632,0.21649045014576,0.01144746636790367,0.2133015875003732,0.21050164403524718,-0.00279994346512602,0.19523410659794052,0.18571727943769012,-0.009516827160250402,0.21766627656269671,0.20675421871132757,-0.010912057851369145,0.4887142466788157,0.4654960230573223,-0.023218223621493395,0.5060240407985624,0.4976461630798566,-0.00837787771870585,0.5047931524594862,0.5217618045379965,0.016968652078510282,0.4985855624143366,0.4800917003460187,-0.01849386206831788,0.5154089935657513,0.521336533368706,0.005927539802954684,0.5062214108614873,0.53718860533783,0.030967194476342663,0.2076515034754158,0.24922985869381536,0.04157835521839956,0.497967622070161,0.5173095930898621,0.019341971019701143,0.5099149020803749,0.5553212710664434,0.045406368986068424
102,NO_INSTITUTIONS,149,0.4992566938663067,0.438553740977843,-0.060702952888463724,0.4986744689807092,0.5209595791672648,0.022285110186555546,0.5010424437471437,0.49866112663499945,-0.0023813171121442323,0.50343589989721,0.5003748602798798,-0.0030610396173302856,0.4952675012404946,0.43200997786634954,-0.06325752337414509,0.5065318587991282,0.4885061753893326,-0.0180256834097956,0.5058948573579535,0.5172238660193914,0.011329008661437934,0.5069714811486613,0.6281349854805127,0.12116350433185141,0.49274270658453073,0.5388577844925734,0.046115077908042645,0.4992452974388275,0.5323293214838988,0.03308402404507127,0.505151713473688,0.5177650154120367,0.012613301938348642,0.4943852413183088,0.4706191393292698,-0.023766101989039,0.4960504444121469,0.5394485949197714,0.04339815050762447,0.49717281741528213,0.49887815866854557,0.001705341253263437,0.5081155224006811,0.6669380433437335,0.15882252094305238,0.5071701792459496,0.5857630816337674,0.0785929023878178,0.4878089224484604,0.4675716265943592,-0.020237295854101223,0.5065438188202911,0.514600024976592,0.008056206156300871,0.5140094332213975,0.5569553527688115,0.042945919547414,0.499440710808908,0.4515702733577113,-0.04787043745119668,0.502147749010838,0.49064066936071377,-0.011507079650124263,0.20599747543683233,0.1924799442021418,-0.013517531234690544,0.20121065695804213,0.22770140586429333,0.026490748906251194,0.20792768245357693,0.2442663624014568,0.03633867994787987,0.21372025680560433,0.23494570904987075,0.02122545224426642,0.199996151605186,0.2090423353683103,0.0090461837631243,0.4759024655517313,0.487500775177236,0.011598309625504677,0.49087132578343606,0.5727893208703372,0.08191799508690112,0.5048783228762848,0.4898992870822205,-0.014979035794064233,0.496153596629753,0.5139640759673089,0.017810479337555862,0.504551080181513,0.5302573992223116,0.025706319040798675,0.5029021114688186,0.48750049627483466,-0.01540161519398392,0.21377208571395356,0.1890137850269332,-0.024758300687020368,0.5028075735261658,0.532763915756373,0.029956342230207267,0.5095536013961929,0.5285091560384783,0.018955554642285377
102,STRONG_STATE,662,0.49800700396181,0.4702561497586492,-0.027750854203160813,0.5010080201673863,0.5050097295677091,0.004001709400322739,0.4990801290985858,0.49963935725771885,0.0005592281591330628,0.5050086261416112,0.5114921827327691,0.006483556591157846,0.4914433569551612,0.4708703317584343,-0.020573025196726935,0.5087663516927033,0.5009102049474087,-0.007856146745294668,0.5038041074575236,0.5317991760100342,0.02799506855251066,0.5086160596927581,0.6045728526207913,0.09595679292803316,0.49432927481908306,0.48917104346546614,-0.005158231353616927,0.4985791464775424,0.516530229088936,0.017951082611393554,0.5069755688916368,0.5098583542072108,0.0028827853155740657,0.49443635901866734,0.4680027246461091,-0.026433634372558246,0.4968673238337798,0.5459884032398366,0.049121079406056756,0.4985112554234616,0.4563787763805627,-0.04213247904289891,0.5057843384789716,0.5901874142975909,0.08440307581861928,0.5057247699817649,0.525354681349187,0.019629911367422093,0.49315457048211014,0.48765950447387024,-0.005495066008239902,0.5078832118630091,0.5334048627167535,0.02552165085374436,0.5130043840391632,0.5012408523412034,-0.01176353169795974,0.4984846654453268,0.49577898429599193,-0.002705681149334893,0.49860369730105714,0.49069145109044204,-0.007912246210615093,0.20590793079050057,0.22200388554774336,0.016095954757242792,0.20148803926299094,0.20767019987375293,0.006182160610761989,0.21076229854953638,0.1788584308908502,-0.031903867658686164,0.21385057791853673,0.23350688251128895,0.019656304592752222,0.20029787821454328,0.20378403631139763,0.003486158096854347,0.47809683788978435,0.4799117193217169,0.0018148814319325357,0.48986092765171374,0.5051121681893593,0.015251240537645594,0.5058677566816813,0.45829067213592833,-0.047577084545752935,0.4943019066882336,0.49019789422293203,-0.004104012465301565,0.5043651157437891,0.5061702137544435,0.0018050980106544268,0.5021489554948073,0.5130829662983754,0.01093401080356804,0.20937275453220536,0.20568815072255647,-0.0036846038096488842,0.5018499260427774,0.5066845344695562,0.0048346084267787415,0.5125655216086364,0.5360444156357314,0.02347889402709491
103,NO_INSTITUTIONS,533,0.5022423782542874,0.4665278829796337,-0.0357144952746537,0.5042093363370435,0.48946703709713274,-0.014742299239910717,0.5150308625125032,0.5137205170819854,-0.0013103454305177786,0.48818857724456133,0.4902302534554637,0.002041676210902399,0.5028161970637943,0.487410210474226,-0.015405986589568321,0.500357390219257,0.49384995962352146,-0.006507430595735497,0.49970900927811773,0.5196754398472482,0.019966430569130444,0.4922330085784395,0.6739349626862046,0.18170195410776507,0.49824038285304706,0.47385082623099517,-0.02438955662205189,0.49338423422161115,0.4878224939620213,-0.005561740259589831,0.509605214193597,0.4940331994811856,-0.01557201471241132,0.4962068169783716,0.5172906658783409,0.021083848899969337,0.4983838702882883,0.5485942022023608,0.05021033191407248,0.5106185152982038,0.5102052708967459,-0.00041324440145784624,0.5050842255439356,0.6587114244399184,0.15362719889598275,0.5062454594654531,0.5795251155396747,0.0732796560742216,0.498696352615278,0.5060400658356117,0.00734371322033367,0.491372232343177,0.4684329236703826,-0.022939308672794423,0.4942103629679517,0.5208971446562771,0.026686781688325445,0.5005859189063028,0.5279012241213663,0.027315305215063534,0.5075619836831671,0.5416633969895963,0.03410141330642924,0.21738601853399728,0.25126970661443276,0.03388368808043549,0.20767917393601942,0.22297664459319336,0.015297470657173934,0.20754573953421285,0.24409326848673413,0.03654752895252128,0.1990955537615508,0.19011275938506159,-0.008982794376489217,0.20479648423118085,0.20031336023953972,-0.004483123991641136,0.5174368220813832,0.5386214070156777,0.021184584934294537,0.5074431292646792,0.5387041917763037,0.03126106251162453,0.5017631018342209,0.46844065542977625,-0.03332244640444465,0.5048512127361641,0.46591136188160476,-0.03893985085455931,0.49955298380563945,0.5144128994298427,0.014859915624203246,0.4987152813440987,0.5273378648893172,0.028622583545218516,0.2093450319080846,0.19307017937468596,-0.016274852533398637,0.49885706600895846,0.45928516989513946,-0.039571896113819005,0.49797029150331806,0.48927843741372923,-0.008691854089588835
103,STRONG_STATE,922,0.5022022445016933,0.4504355221792595,-0.05176672232243379,0.5046578792896116,0.4476361215633408,-0.05702175772627077,0.5105273783063472,0.4881327457792829,-0.022394632527064307,0.48677413860217333,0.4402857001476627,-0.04648843845451062,0.501707840653928,0.4528364169915636,-0.048871423662364466,0.5033086009181443,0.5207642067185174,0.017455605800373086,0.5005150444123233,0.4620892711754635,-0.038425773236859806,0.4916552806578066,0.5847282617038719,0.09307298104606532,0.4982105963652201,0.4984002616045024,0.0001896652392823217,0.48923724138712466,0.5001296818271119,0.010892440439987272,0.5069867657347487,0.526756579777027,0.01976981404227829,0.49648318647420836,0.5145096264796141,0.01802644000540571,0.5005507439939764,0.5519049575962872,0.05135421360231085,0.5107688919567333,0.5220058619353454,0.011236969978612121,0.5045282106936975,0.6251596344920989,0.12063142379840142,0.5058907114794858,0.5760263358035698,0.07013562432408393,0.5006418142390122,0.5038087811311793,0.0031669668921671112,0.4906310491587492,0.4541132596284905,-0.03651778953025875,0.4952736791122763,0.45943827053721376,-0.035835408575062566,0.5006677170887559,0.4620730121495878,-0.03859470493916811,0.5102286330230986,0.5458808173690075,0.03565218434590889,0.21814232099847708,0.24124727530287118,0.023104954304394104,0.20771167887800077,0.1996682479880931,-0.008043430889907666,0.20615156866664464,0.25896139053621464,0.052809821869570006,0.20193465862333862,0.20907556616434564,0.007140907541007019,0.20310823146589582,0.24878125612378385,0.04567302465788803,0.5168511283211525,0.5122084256676969,-0.004642702653455677,0.5073638431189292,0.4911750914709709,-0.016188751647958355,0.5055742751126983,0.49525535152055244,-0.010318923592145812,0.506818026013791,0.515569337879562,0.00875131186577105,0.4992344445404205,0.5046744807747211,0.005440036234300616,0.4965861191259391,0.533468969666499,0.03688285054055995,0.2111029480162641,0.21729644531804285,0.006193497301778733,0.5004814696133184,0.47890193117032315,-0.02157953844299526,0.49575497050453,0.5187917767490313,0.02303680624450133
104,NO_INSTITUTIONS,405,0.49970227002694195,0.4340648826987219,-0.06563738732822005,0.49839341275182997,0.5329907300365878,0.034597317284757845,0.5114404181304032,0.5125790447179479,0.001138626587544711,0.5016634523136977,0.4902533394737083,-0.011410112839989384,0.5000815288156827,0.4469261173462789,-0.05315541146940378,0.4950191376830367,0.4376522240143529,-0.057366913668683794,0.4987154294557663,0.48348045039412274,-0.015234979061643561,0.4979945296169069,0.6432899679471497,0.14529543833024278,0.48816867126332497,0.4899640489481611,0.0017953776848361191,0.49753552724247263,0.5200302977173733,0.02249477047490067,0.5165719173498533,0.5493296154496085,0.03275769809975515,0.5118836896911386,0.4799682467929064,-0.03191544289823223,0.4881736551473317,0.5279152516355726,0.03974159648824094,0.5051484614743299,0.4915247260595668,-0.013623735414763083,0.5041702208080401,0.6247143471961488,0.12054412638810874,0.4962332264418446,0.5133513422734615,0.017118115831616876,0.48836979132639236,0.505143122493303,0.0167733311669106,0.49790884252112416,0.5356440296644875,0.03773518714336338,0.5047732836430053,0.5390110665450738,0.03423778290206847,0.4945147421028639,0.4734145907744719,-0.02110015132839199,0.5039747991784173,0.4873472529158747,-0.016627546262542536,0.20186551426015883,0.21677686682441036,0.014911352564251523,0.2062830864380751,0.18376619298840824,-0.02251689344966687,0.21468494061469828,0.1808454079129932,-0.03383953270170509,0.1932067092125121,0.1893511305775791,-0.0038555786349329935,0.2083469923722852,0.194177929691994,-0.014169062680291222,0.508932982446115,0.4989286172413963,-0.010004365204718646,0.4980317314182332,0.47908464340816753,-0.01894708801006567,0.5057140090620188,0.5119859184426597,0.006271909380640928,0.5021939639983849,0.49186269384900544,-0.010331270149379457,0.5034133218011383,0.5346417835761966,0.031228461775058336,0.5058378292690029,0.5500573659408221,0.044219536671819215,0.22189715632495294,0.2455565449372256,0.023659388612272653,0.5101759868323508,0.5396757009021663,0.029499714069815552,0.4928530367612181,0.5160892682572296,0.02323623149601145
104,STRONG_STATE,904,0.5010031122939449,0.46881208914757805,-0.03219102314636685,0.4961390615654911,0.49466659466506574,-0.001472466900425351,0.5128016042389664,0.49708383046652166,-0.01571777377244471,0.5027565162941399,0.5031512465818956,0.00039473028775571795,0.501851719827262,0.44929777006722355,-0.05255394976003841,0.49977444292602907,0.5063996507569082,0.00662520783087911,0.4967721692372504,0.5347642423979048,0.03799207316065434,0.49715552480641945,0.6180277330865638,0.12087220828014433,0.49069155610647175,0.488057797368625,-0.0026337587378467697,0.49727936966607383,0.5088166565449105,0.01153728687883665,0.5137844648090152,0.5009359912224172,-0.01284847358659802,0.5104611784018762,0.5237124093460948,0.01325123094421854,0.4883002836439892,0.4963142533920361,0.008013969748046912,0.5027148477282742,0.5425230021042162,0.039808154375941984,0.5033711545318617,0.5987326374975753,0.09536148296571367,0.4956193350248244,0.5317713586589405,0.036152023634116126,0.48504717280146653,0.43747577830450546,-0.04757139449696107,0.500836254168374,0.48814585238270936,-0.012690401785664607,0.5051356382511848,0.5065061434374288,0.001370505186244042,0.4945332659411025,0.47401019572047215,-0.020523070220630324,0.5047709507570945,0.5347451255908042,0.029974174833709677,0.20353660978887186,0.21228872799515916,0.008752118206287296,0.20759478923849797,0.1858155288340809,-0.021779260404417078,0.21393233187865543,0.209258554832479,-0.004673777046176442,0.19563816393270025,0.2368874318272775,0.04124926789457725,0.2041696084887344,0.22147015920697966,0.017300550718245267,0.5035733126618008,0.5218403809924033,0.018267068330602432,0.4978685569002522,0.4997949076321096,0.0019263507318573736,0.5038110229734909,0.4820345285761172,-0.02177649439737367,0.49712720603690963,0.4888485723051261,-0.008278633731783558,0.5004262509331343,0.5213087474975496,0.02088249656441532,0.5063467723318595,0.5070015296910476,0.000654757359188074,0.22250470130433397,0.19772216698684245,-0.024782534317491528,0.5085074335423303,0.5056171781623011,-0.002890255380029183,0.4910082408798314,0.4823032630314967,-0.008704977848334738
105,NO_INSTITUTIONS,705,0.5087111642226648,0.4635967758651475,-0.0451143883575173,0.49844506334234495,0.5043920947105448,0.005947031368199851,0.5036964858319707,0.5043506376401145,0.0006541518081437658,0.4955316656321244,0.4982188289176519,0.002687163285527483,0.488986173108133,0.45654739511441517,-0.03243877799371786,0.5045659021377401,0.5199158903666484,0.015349988228908318,0.4969619892926261,0.5019663790891027,0.005004389796476605,0.5017568262951398,0.6037756259733803,0.10201879967824046,0.5071043013002913,0.4685257495632109,-0.03857855173708036,0.5091072235824116,0.5400924369764556,0.03098521339404403,0.4912903114818104,0.5053302366905587,0.01403992520874825,0.49401019023248355,0.47277359379644557,-0.02123659643603798,0.49681089338803863,0.5813611839634767,0.08455029057543806,0.4941763075321222,0.4587388153386083,-0.03543749219351394,0.4887596986468511,0.6383617207627262,0.14960202211587514,0.49202998072358156,0.5424462539702605,0.05041627324667891,0.48641002952265294,0.5176026150253367,0.031192585502683723,0.5101449728916541,0.4886079986482371,-0.02153697424341694,0.5019759329286339,0.5035944241057145,0.0016184911770806831,0.48490857278643873,0.48048990215128917,-0.0044186706351495575,0.5122579021159902,0.5331904320744572,0.02093252995846695,0.20761417681649968,0.19643551393968836,-0.011178662876811324,0.22621697173330574,0.23313585299562256,0.006918881262316823,0.20790672088506984,0.15801914710533632,-0.04988757377973352,0.2120552916887586,0.2574127376195099,0.04535744593075128,0.2091069321279592,0.22502312544337666,0.015916193315417465,0.49605497837301576,0.5136448929686463,0.017589914595630585,0.5022358469145684,0.5154952519966238,0.013259405082055475,0.5033047466586371,0.5502161270209588,0.046911380362321675,0.49406374604326925,0.5170509392285666,0.02298719318529735,0.501558286066143,0.5162113812940544,0.014653095227911361,0.4880588299385461,0.5372431843306664,0.04918435439212032,0.21110518281162186,0.20322152107732763,-0.007883661734294223,0.512103327398784,0.539237466446807,0.027134139048023087,0.4885046400646687,0.5221853975975637,0.033680757532894956
